epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7280701754385965,0.7142857142857143,1.2192445768598925,1.56302694834414
2,0.7280701754385965,0.7142857142857143,1.486293637961672,1.1606436400186448
3,0.7280701754385965,0.7142857142857143,1.1782996487199215,1.1613699126811254
4,0.7280701754385965,0.7142857142857143,1.133994580360881,1.189909889584496
5,0.7280701754385965,0.7142857142857143,1.1674841909032119,1.1708097401119413
6,0.7280701754385965,0.7142857142857143,1.1487270091709338,1.1554936227344332
7,0.7280701754385965,0.7142857142857143,1.122486226391374,1.1591732218152
8,0.7280701754385965,0.7142857142857143,1.1382941080812823,1.151492022332691
9,0.7280701754385965,0.7142857142857143,1.1184262225502415,1.1497577684266227
10,0.7280701754385965,0.7142857142857143,1.1188576556088632,1.1252961172944023
11,0.7280701754385965,0.7142857142857143,1.1172752579053242,1.1086524753343492
12,0.7280701754385965,0.7142857142857143,1.0707670580922513,1.1387247925712949
13,0.7280701754385965,0.7142857142857143,1.1354541182518005,1.106340541726067
14,0.7280701754385965,0.7142857142857143,1.1159145173273588,1.0762677221071153
15,0.7280701754385965,0.7142857142857143,1.0701881448427837,1.0840302251634144
16,0.7280701754385965,0.7142857142857143,1.0725169589644985,1.057466189066569
17,0.7280701754385965,0.7142857142857143,1.0425287579235278,1.0389031512396676
18,0.7280701754385965,0.7142857142857143,1.0311842759450276,1.03517024289994
19,0.7280701754385965,0.7142857142857143,1.089613825082779,0.9757497317734218
20,0.7280701754385965,0.7142857142857143,1.0229604317430865,1.0331645139626093
21,0.7280701754385965,0.7142857142857143,1.0693632908034743,0.9323757688204447
22,0.7280701754385965,0.7142857142857143,0.9481145180108255,0.9355552019107909
23,0.7280701754385965,0.7142857142857143,0.9315745969090545,0.8054247328213283
24,0.7280701754385965,0.7142857142857143,0.855791254524599,1.1053465093885149
25,0.7280701754385965,0.7142857142857143,1.1813632626282542,0.8661036008880252
26,0.7280701754385965,0.7142857142857143,0.8934542667447475,0.8940051992734274
27,0.7280701754385965,0.7142857142857143,0.9501239186839053,0.7360746718588329
28,0.7280701754385965,0.7142857142857143,0.8757995497762111,0.7164162500273614
29,0.7280701754385965,0.7142857142857143,0.8470256677583644,0.6491932159378415
30,0.7280701754385965,0.7142857142857143,0.739909026445004,0.7616832650133541
31,0.7280701754385965,0.7142857142857143,0.8227487948902866,0.6054580467087882
32,0.7280701754385965,0.7142857142857143,0.7927949501757037,0.5683821682773885
33,0.7280701754385965,0.7142857142857143,0.8352457603864503,0.5278374694642567
34,0.7280701754385965,0.7142857142857143,0.6977014385425208,0.5528290825230735
35,0.7280701754385965,0.7142857142857143,0.761712267210609,0.6392697039104643
36,0.7280701754385965,0.7142857142857143,0.7756576896236654,0.46509132214954924
37,0.7280701754385965,0.7142857142857143,0.6536367441478529,0.6784021011775448
38,0.7280701754385965,0.7142857142857143,0.9438416738259164,0.5113538049516224
