epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.6929824561403509,0.7142857142857143,1.6070333646054853,1.1723805864651997
2,0.7280701754385965,0.7142857142857143,1.1224914167010993,1.2875696335520064
3,0.7280701754385965,0.7142857142857143,1.2444962357219898,1.1796142373766219
4,0.7280701754385965,0.7142857142857143,1.2085296250226205,1.160353314308893
5,0.7280701754385965,0.7142857142857143,1.1254958186233253,1.1787941285542078
6,0.7280701754385965,0.7142857142857143,1.1655770331098323,1.1735874329294478
7,0.7280701754385965,0.7142857142857143,1.1524498044398792,1.1679712988081432
8,0.7280701754385965,0.7142857142857143,1.148447019489188,1.1617261001041956
9,0.7280701754385965,0.7142857142857143,1.1430802031567222,1.1549668297881173
10,0.7280701754385965,0.7142857142857143,1.1383705233272754,1.1609607736269634
11,0.7280701754385965,0.7142857142857143,1.1357668737570445,1.1659777959187825
12,0.7280701754385965,0.7142857142857143,1.148152726784087,1.1522177642300016
13,0.7280701754385965,0.7142857142857143,1.1238219947145696,1.1504929633367629
14,0.7280701754385965,0.7142857142857143,1.132708316832258,1.1466608331316994
15,0.7280701754385965,0.7142857142857143,1.1200696188106871,1.146079223780405
16,0.7280701754385965,0.7142857142857143,1.136669913927714,1.1381155394372486
17,0.7280701754385965,0.7142857142857143,1.146262668726737,1.1353171226524172
18,0.7280701754385965,0.7142857142857143,1.1066519063815736,1.1521347903069996
19,0.7280701754385965,0.7142857142857143,1.138619987065332,1.1250023047129314
20,0.7280701754385965,0.7142857142857143,1.1318978458120112,1.1220442723660242
21,0.7280701754385965,0.7142857142857143,1.0977551811619808,1.1362805394899278
22,0.7280701754385965,0.7142857142857143,1.1129698261880039,1.1207284870601835
23,0.7280701754385965,0.7142857142857143,1.0988607458900987,1.1065980266957056
24,0.7280701754385965,0.7142857142857143,1.0807594379834962,1.102680932907831
25,0.7280701754385965,0.7142857142857143,1.086342009536007,1.0939740510213942
26,0.7280701754385965,0.7142857142857143,1.0852596074865575,1.0886458272025699
27,0.7280701754385965,0.7142857142857143,1.0667460508513869,1.0826315794672285
28,0.7280701754385965,0.7142857142857143,1.0699977310080278,1.067718891870408
29,0.7280701754385965,0.7142857142857143,1.0742268499575163,1.050545530659812
30,0.7280701754385965,0.7142857142857143,1.0222873672058708,1.0504477534975325
31,0.7280701754385965,0.7142857142857143,1.0583405316921703,1.0215575751804171
32,0.7280701754385965,0.7142857142857143,1.0091968283318637,1.024029281877336
33,0.7280701754385965,0.7142857142857143,1.00153522742422,0.995844243537812
34,0.7280701754385965,0.7142857142857143,0.9662815374240541,0.9546833762100765
35,0.7280701754385965,0.7142857142857143,0.984147511553346,0.9334820594106402
36,0.7280701754385965,0.7142857142857143,0.9098291407551682,0.9200113444101243
37,0.7280701754385965,0.7142857142857143,0.9096619026702747,0.867810845375061
38,0.7280701754385965,0.7142857142857143,0.8580330380222254,0.8383383864448184
39,0.7280701754385965,0.7142857142857143,0.8226235495847568,0.8058357238769531
40,0.7280701754385965,0.7142857142857143,0.8506704432922497,0.7987538576126099
41,0.7280701754385965,0.7142857142857143,0.7933631941937563,0.8233223756154379
42,0.7280701754385965,0.7142857142857143,0.8278565215959883,0.748781661192576
43,0.7280701754385965,0.7142857142857143,0.7955922306629649,0.7432978735083625
44,0.7280701754385965,0.7142857142857143,0.7473324349052027,0.7579411126318432
45,0.7280701754385965,0.7142857142857143,0.728161420477064,0.6801364393461318
46,0.7280701754385965,0.7142857142857143,0.7722001390760405,0.7279394552821205
47,0.7280701754385965,0.7142857142857143,0.6676970741205048,0.6810519326300848
48,0.7368421052631579,0.9523809523809523,0.6931150269351507,0.7112289241382054
49,0.8508771929824561,0.8095238095238095,0.6275585952558016,0.6324779249372936
50,0.7456140350877193,0.9523809523809523,0.8510286896898035,0.6097454453508059
51,0.8508771929824561,0.9523809523809523,0.6074615837842748,0.5624585577419826
52,0.8596491228070176,0.9523809523809523,0.611127526613704,0.5015506829534259
53,0.868421052631579,0.9523809523809523,0.5449035260826349,0.45597977723394123
54,0.8596491228070176,0.8095238095238095,0.5571209438014448,0.46164039628846304
55,0.7631578947368421,0.8095238095238095,0.7643993083845105,0.7075839184579396
56,0.9122807017543859,0.8095238095238095,0.5699478274113253,0.435550080878394
57,0.7982456140350878,0.9523809523809523,0.6814314137425339,0.4511918177207311
