epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7280701754385965,0.7142857142857143,1.2954909926966618,1.222272513877778
2,0.7280701754385965,0.7142857142857143,1.2178015144247758,1.2088742171015059
3,0.7280701754385965,0.7142857142857143,1.1825241216442042,1.1629919452326638
4,0.7280701754385965,0.7142857142857143,1.1614971986988134,1.1590220573402585
5,0.7280701754385965,0.7142857142857143,1.1255254599086024,1.1736597347827185
6,0.7280701754385965,0.7142857142857143,1.1578090645765002,1.1642689733278184
7,0.7280701754385965,0.7142857142857143,1.1542288661003113,1.1532676418622334
8,0.7280701754385965,0.7142857142857143,1.1259552088745854,1.1570106943448384
9,0.7280701754385965,0.7142857142857143,1.1408835168470417,1.1525018357095265
10,0.7280701754385965,0.7142857142857143,1.1284284262280715,1.1538629262220292
11,0.7280701754385965,0.7142857142857143,1.1534276280486793,1.1441506828580583
12,0.7280701754385965,0.7142857142857143,1.1325745932888567,1.1446652497564043
13,0.7280701754385965,0.7142857142857143,1.1337814874816359,1.1431564560958318
14,0.7280701754385965,0.7142857142857143,1.1118228550542866,1.1508846197809492
15,0.7280701754385965,0.7142857142857143,1.1396009315524185,1.1340296183313643
16,0.7280701754385965,0.7142857142857143,1.116092742535106,1.1337217617602575
17,0.7280701754385965,0.7142857142857143,1.1103707933635043,1.1395197709401448
18,0.7280701754385965,0.7142857142857143,1.1268254602164554,1.1257191413924807
19,0.7280701754385965,0.7142857142857143,1.1210584347708183,1.1184674700101216
20,0.7280701754385965,0.7142857142857143,1.0980138381322224,1.1282587732587541
21,0.7280701754385965,0.7142857142857143,1.105510785914304,1.1206649797303336
22,0.7280701754385965,0.7142857142857143,1.125129365084464,1.1040374679224831
23,0.7280701754385965,0.7142857142857143,1.0956039920187832,1.1071734769003732
24,0.7280701754385965,0.7142857142857143,1.108122325780099,1.0965308731510526
25,0.7280701754385965,0.7142857142857143,1.100273282904374,1.0969177654811315
26,0.7280701754385965,0.7142857142857143,1.0947718400704234,1.0879401961962383
27,0.7280701754385965,0.7142857142857143,1.088654236312498,1.0806798963319688
28,0.7280701754385965,0.7142857142857143,1.0869644692069607,1.0665766171046667
29,0.7280701754385965,0.7142857142857143,1.0565965196542573,1.0662316367739724
30,0.7280701754385965,0.7142857142857143,1.0854177715485556,1.0351248610587347
31,0.7280701754385965,0.7142857142857143,1.0577620006444162,1.0191311240196228
32,0.7280701754385965,0.7142857142857143,1.0537391618678444,1.0062940589019231
33,0.7280701754385965,0.7142857142857143,1.0448906599429615,1.0035472490957804
34,0.7280701754385965,0.7142857142857143,1.0287079235963654,0.9534426615351722
35,0.7280701754385965,0.7142857142857143,0.9941263648501614,0.9399123993657884
36,0.7280701754385965,0.7142857142857143,1.0412135113749588,0.9757741583245141
37,0.7280701754385965,0.7142857142857143,1.0274536546907926,0.8782127471197219
38,0.7280701754385965,0.7142857142857143,0.9495720513034285,0.8566787427379972
39,0.7280701754385965,0.7142857142857143,0.9687516731128358,0.7960295691376641
40,0.7280701754385965,0.7142857142857143,0.9180691116734555,0.7527311316558293
41,0.7280701754385965,0.7142857142857143,0.8568949417064065,0.7905026787803286
42,0.7456140350877193,0.7142857142857143,0.9672103513751114,0.7429802957035246
43,0.7280701754385965,0.7142857142857143,0.8529053576159895,0.7126792385464623
44,0.7631578947368421,0.7142857142857143,0.8478095071357593,0.7327640908105033
45,0.7543859649122807,0.8095238095238095,0.8786582418701105,0.6398852864901224
46,0.7807017543859649,0.7142857142857143,0.7688978366684496,0.653721741267613
47,0.7543859649122807,0.8095238095238095,0.8594488689773961,0.5591430224123455
48,0.8070175438596491,0.8095238095238095,0.7235936655810005,0.4897260268529256
49,0.7982456140350878,0.9047619047619048,0.6750916734076383,0.4479014923175176
50,0.8157894736842105,0.9047619047619048,0.5968742418968886,0.4070153222197578
51,0.8245614035087719,0.8095238095238095,0.6709075571413625,0.5786533274111294
52,0.7543859649122807,0.9523809523809523,0.8814754972332403,0.43749095996220905
53,0.8859649122807017,0.8095238095238095,0.5736277848482132,0.5230079789956411
54,0.7807017543859649,0.9047619047619048,0.8375422795090759,0.416842982172966
55,0.8245614035087719,0.9047619047619048,0.6219530006249746,0.36013402239907355
56,0.8421052631578947,0.9047619047619048,0.5629784320399427,0.38026399981407893
57,0.8596491228070176,0.8095238095238095,0.5390229204244781,0.5402665138244629
58,0.7807017543859649,0.8095238095238095,1.1135257383187611,0.8322897979191372
59,0.7894736842105263,0.8095238095238095,0.9534407205748976,0.7411956985791525
60,0.7894736842105263,0.9047619047619048,0.7921988161509497,0.5217801665975934
61,0.8157894736842105,0.9047619047619048,0.6391448057665113,0.4720242828840301
62,0.8333333333333334,0.9047619047619048,0.6796792554750777,0.35445101913951693
63,0.8508771929824561,0.9047619047619048,0.5325583867859423,0.42981835011215436
64,0.7982456140350878,0.9047619047619048,0.7773862930766323,0.4074664605515344
65,0.8070175438596491,0.8095238095238095,0.7264707308066519,0.5755556580566225
66,0.8421052631578947,0.9047619047619048,0.7239628010674527,0.45966731082825435
67,0.8157894736842105,0.9047619047619048,0.6603226159748278,0.39629078195208595
68,0.8157894736842105,0.9047619047619048,0.6480159247130678,0.4560724124312401
69,0.8070175438596491,0.9047619047619048,0.7023852007430896,0.3516864301193328
70,0.8508771929824561,0.9047619047619048,0.5395026309579088,0.4035143206516902
71,0.868421052631579,0.9047619047619048,0.5162894851283023,0.36810122075535
72,0.8245614035087719,0.9047619047619048,0.5559624214901736,0.4074834123963401
73,0.8596491228070176,0.9047619047619048,0.6056070290505886,0.32282127617370515
74,0.8245614035087719,0.9523809523809523,0.5165845145258987,0.2870984205177852
75,0.8947368421052632,0.9047619047619048,0.692143753432391,0.40402740240097046
76,0.8157894736842105,0.9047619047619048,0.6756542528930464,0.3666986007066
77,0.868421052631579,0.9047619047619048,0.5230275523244289,0.33213247216883157
78,0.8157894736842105,0.9047619047619048,0.6093731637586627,0.3162152540116083
79,0.8421052631578947,0.9047619047619048,0.5027610981150678,0.40273337208089377
80,0.8859649122807017,0.9523809523809523,0.43278957171398297,0.2681770535806815
81,0.868421052631579,0.9523809523809523,0.47998082033244144,0.2732352160272144
82,0.9035087719298246,0.9047619047619048,0.3819152017434438,0.2893914438429333
83,0.8596491228070176,0.9523809523809523,0.4759989997143285,0.24240087824208395
84,0.9035087719298246,0.9047619047619048,0.3809195424577123,0.24861648900523073
85,0.8859649122807017,0.9047619047619048,0.402828269883206,0.2369131829057421
86,0.8771929824561403,0.9047619047619048,0.3863782536303788,0.3041342596213023
87,0.9298245614035088,0.9523809523809523,0.3790363513521458,0.22961129886763437
88,0.9035087719298246,0.9523809523809523,0.40243940434434955,0.2338896876289731
89,0.9385964912280702,0.9047619047619048,0.3783747773421438,0.22617757018832935
90,0.868421052631579,0.9523809523809523,0.4925993580305785,0.19488940920148576
91,0.9210526315789473,0.9523809523809523,0.39226378618102326,0.2720472337234588
92,0.9035087719298246,0.9523809523809523,0.3312312254780217,0.21949778284345353
93,0.9035087719298246,0.9523809523809523,0.3932708794610542,0.2021866412389846
94,0.8947368421052632,0.9047619047619048,0.35885646991562425,0.3104218245439586
95,0.8333333333333334,0.8095238095238095,0.7664435803236669,0.6940117790585473
96,0.8596491228070176,0.9047619047619048,0.7106222405768278,0.3500539096338408
97,0.8508771929824561,0.9523809523809523,0.5150098502635956,0.2774679348582313
98,0.8771929824561403,0.9047619047619048,0.4105182173743583,0.2667669951915741
99,0.868421052631579,1.0,0.3993566066288112,0.26796199523267294
100,0.9035087719298246,0.9047619047619048,0.38180049627267737,0.26447377265209243
101,0.8771929824561403,0.9523809523809523,0.4314900581773959,0.21631696944435438
102,0.9385964912280702,0.9523809523809523,0.3239223258079667,0.23745887362886042
103,0.9385964912280702,0.9047619047619048,0.3660258818091008,0.2403536360888254
104,0.8508771929824561,0.8095238095238095,0.6471976294067868,0.5143376544472718
105,0.8508771929824561,0.9523809523809523,0.7271430986492258,0.35532479059128536
106,0.9385964912280702,0.9047619047619048,0.41531827496854884,0.34463841574532644
107,0.868421052631579,0.9047619047619048,0.5015842318534851,0.3495933200631823
108,0.8596491228070176,0.9047619047619048,0.5701569666465124,0.5794907386104265
109,0.8859649122807017,0.9523809523809523,0.5486848729482868,0.3502323968069894
110,0.9210526315789473,0.9047619047619048,0.4334927052259445,0.3315352937650113
111,0.8596491228070176,0.9523809523809523,0.47272379121236635,0.4276935798781259
112,0.9473684210526315,0.9047619047619048,0.3433918110830219,0.2678335223879133
113,0.868421052631579,0.9523809523809523,0.43486057248031884,0.3283903314953759
114,0.9298245614035088,0.9047619047619048,0.37621031456479903,0.27278767490670797
115,0.8596491228070176,0.9523809523809523,0.47653956645936296,0.44625964547906605
116,0.9473684210526315,0.9047619047619048,0.4061940657465081,0.2359003328851291
117,0.8508771929824561,0.9523809523809523,0.4599133414918916,0.23723028245426359
118,0.9210526315789473,0.9523809523809523,0.3711891950745332,0.37880602195149377
119,0.9473684210526315,0.9047619047619048,0.3421422052769023,0.2194142814814335
120,0.8771929824561403,0.9523809523809523,0.4174135456743993,0.27963338792324066
121,0.9473684210526315,0.9047619047619048,0.30806863608590346,0.2673560075816654
122,0.9035087719298246,0.9523809523809523,0.3289095408103445,0.21197368665820077
123,0.9298245614035088,0.9523809523809523,0.3686497990499463,0.221867221451941
124,0.9035087719298246,0.9047619047619048,0.3394723642584786,0.2511884669906327
125,0.9035087719298246,0.9523809523809523,0.35167810188508347,0.314234112345037
126,0.9385964912280702,0.9523809523809523,0.3026538878156428,0.20962186086745488
127,0.9298245614035088,0.9523809523809523,0.3342381629177876,0.23456372817357382
128,0.9473684210526315,0.9523809523809523,0.33683737560191696,0.2011859090555282
129,0.9122807017543859,0.9523809523809523,0.3232568472362401,0.30768294845308575
130,0.9473684210526315,0.9523809523809523,0.28799432573284495,0.22039817344574703
131,0.9473684210526315,0.9523809523809523,0.2660419948219338,0.23449074512436277
132,0.9385964912280702,0.9523809523809523,0.281169457524492,0.19416379644757226
133,0.9385964912280702,0.9523809523809523,0.32478708580234333,0.1799985138876807
134,0.9298245614035088,0.9047619047619048,0.3086680470590006,0.2396220848673866
135,0.9035087719298246,0.9523809523809523,0.33989008163150985,0.19165644058514208
136,0.9385964912280702,0.9047619047619048,0.30693605176189487,0.2962185683704558
137,0.8421052631578947,0.8095238095238095,0.7970709234165648,0.7628580147311801
138,0.8245614035087719,0.8095238095238095,0.8654683169565702,0.6442466945875258
139,0.8245614035087719,0.9047619047619048,0.5654101507705555,0.4529825874737331
